"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"AP2010-08-04-21922"|"apnic"|"ID"|"ipv6"|"2001:df0:b6::"|48|2010-08-03|"assigned"|2010-08-04|2020-12-30|TRUE|"2001:df0:b6::-2001:df0:b6::2f"
"AP2010-08-04-21923"|"apnic"|"ID"|"ipv6"|"2001:df0:b7::"|48|2010-08-03|"assigned"|2010-08-04|2020-12-30|TRUE|"2001:df0:b7::-2001:df0:b7::2f"
"AP2010-08-04-22477"|"apnic"|"ID"|"ipv6"|"2403:be00::"|32|2010-08-03|"allocated"|2010-08-04|2020-12-30|TRUE|"2403:be00::/123"
"AP2010-08-05-21927"|"apnic"|"ID"|"ipv6"|"2001:df0:b8::"|48|2010-08-04|"assigned"|2010-08-05|2020-12-30|TRUE|"2001:df0:b8::-2001:df0:b8::2f"
"AP2010-08-05-21928"|"apnic"|"NZ"|"ipv6"|"2001:df0:b9::"|48|2010-08-04|"assigned"|2010-08-05|2020-12-30|TRUE|"2001:df0:b9::-2001:df0:b9::2f"
"AP2010-08-06-22491"|"apnic"|"NZ"|"ipv6"|"2403:c200::"|32|2010-08-05|"allocated"|2010-08-06|2020-12-30|TRUE|"2403:c200::/123"
"AP2010-08-07-21692"|"apnic"|"JP"|"ipv6"|"2001:3e8::"|32|2010-08-06|"allocated"|2010-08-07|2020-12-30|TRUE|"2001:3e8::/123"
"AP2010-08-07-22501"|"apnic"|"ID"|"ipv6"|"2403:c600::"|32|2010-08-06|"allocated"|2010-08-07|2020-12-30|TRUE|"2403:c600::/123"
"AP2010-08-07-22503"|"apnic"|"AU"|"ipv6"|"2403:ca00::"|32|2010-08-06|"allocated"|2010-08-07|2020-12-30|TRUE|"2403:ca00::/123"
"AP2010-08-07-22505"|"apnic"|"AU"|"ipv6"|"2403:ce00::"|32|2010-08-06|"allocated"|2010-08-07|2020-12-30|TRUE|"2403:ce00::/123"
"AP2010-08-08-22507"|"apnic"|"NZ"|"ipv6"|"2403:d200::"|32|2010-08-07|"allocated"|2010-08-08|2020-12-30|TRUE|"2403:d200::/123"
"AP2010-08-10-21946"|"apnic"|"ID"|"ipv6"|"2001:df0:bb::"|48|2010-08-09|"assigned"|2010-08-10|2020-12-30|TRUE|"2001:df0:bb::-2001:df0:bb::2f"
"AP2010-08-10-22513"|"apnic"|"AU"|"ipv6"|"2403:d600::"|32|2010-08-09|"allocated"|2010-08-10|2020-12-30|TRUE|"2403:d600::/123"
"AP2010-08-10-22515"|"apnic"|"ID"|"ipv6"|"2403:da00::"|32|2010-08-09|"allocated"|2010-08-10|2020-12-30|TRUE|"2403:da00::/123"
"AP2010-08-12-22530"|"apnic"|"NZ"|"ipv6"|"2403:de00::"|32|2010-08-11|"allocated"|2010-08-12|2020-12-30|TRUE|"2403:de00::/123"
"AP2010-08-13-22540"|"apnic"|"VN"|"ipv6"|"2403:e200::"|32|2010-08-12|"allocated"|2010-08-13|2020-12-30|TRUE|"2403:e200::/123"
"AP2010-08-14-22552"|"apnic"|"ID"|"ipv6"|"2403:e600::"|32|2010-08-13|"allocated"|2010-08-14|2020-12-30|TRUE|"2403:e600::/123"
"AP2010-08-15-22554"|"apnic"|"HK"|"ipv6"|"2403:ea00::"|32|2010-08-13|"allocated"|2010-08-15|2020-12-30|TRUE|"2403:ea00::/123"
"AP2010-08-15-22556"|"apnic"|"TW"|"ipv6"|"2403:ee00::"|32|2010-08-14|"allocated"|2010-08-15|2020-12-30|TRUE|"2403:ee00::/123"
"AP2010-08-17-22573"|"apnic"|"JP"|"ipv6"|"2403:f200::"|32|2010-08-16|"allocated"|2010-08-17|2020-12-30|TRUE|"2403:f200::/123"
"AP2010-08-17-22575"|"apnic"|"NR"|"ipv6"|"2403:f600::"|32|2010-08-16|"allocated"|2010-08-17|2020-12-30|TRUE|"2403:f600::/123"
